OrderNumber;OrderDate;OrderType;CustomerType;CustomerName;CustomerState;ProductCategory;ProductNumber;ProductName;Quantity;Price;Discount;OrderTotal
1000968;Mar 14, 2020;Retail;Individual;Curtis Lu;Pennsylvania;Orchid;OC201;Phalaenopsis Orchid;1,00;$54,00;$0,00;$54,00
1000969;Mar 14, 2020;Retail;Individual;Chase Peterson;Louisiana;Orchid;OC603;Paphiopedlium Orchid;1,00;$189,00;$0,00;$189,00
1000970;Mar 14, 2020;Wholesale;Business;Melinda Romero LLC;District of Columbia;Sunflower;SF302;Sunny Smile;102,00;$395,00;$79,00;$40.211,00
1000971;Mar 15, 2020;Retail;Individual;Maria Roberts;Texas;Orchid;OC603;Paphiopedlium Orchid;2,00;$189,00;$0,00;$378,00
1000972;Mar 15, 2020;Wholesale;Business;Ashlee Jai Inc.;Oklahoma;Orchid;OC206;Dendrobium Orchid;4,00;$119,00;$23,80;$452,20
1000973;Mar 15, 2020;Retail;Individual;Alejandro Beck;Illinois;Sunflower;SF305;Ms. Mars;1,00;$455,00;$0,00;$455,00
1000974;Mar 15, 2020;Wholesale;Business;Francisco Srini Inc.;Georgia;Sunflower;SF305;Ms. Mars;10,00;$455,00;$91,00;$4.459,00
1000975;Mar 15, 2020;Wholesale;Business;Theresa Alvarez Inc.;Pennsylvania;Rose;RS107;French Rose;102,00;$12,00;$2,40;$1.221,60
1000976;Mar 15, 2020;Retail;Individual;Natalie Ross;Georgia;Orchid;OC203;Cycnoches Orchid;1,00;$69,00;$0,00;$69,00
1000977;Mar 15, 2020;Wholesale;Business;Alexis Coleman LLC;Idaho;Sunflower;SF704;Giant Sungold;4,00;$699,00;$139,80;$2.656,20
1000978;Mar 15, 2020;Retail;Individual;Carson Bryant;South Carolina;Daisy;DS805;Barberton Daisy;1,00;$49,00;$0,00;$49,00
1000979;Mar 15, 2020;Wholesale;Business;Levi Weber LLC;Georgia;Daisy;DS806;Shasta Daisy;11,00;$49,00;$9,80;$529,20
1000980;Mar 15, 2020;Wholesale;Business;Katherine Carter LLC;Minnesota;Sunflower;SF704;Giant Sungold;5,00;$699,00;$139,80;$3.355,20
1000981;Mar 15, 2020;Retail;Individual;Christina Richardson;Louisiana;Sunflower;SF705;Suntastic Yellow;2,00;$684,00;$0,00;$1.368,00
1000982;Mar 15, 2020;Retail;Business;Frank Carlson UllrichInc..;Oklahoma;Sunflower;SF307;Moulin Rouge;17,00;$499,00;$0,00;$8.483,00
1000983;Mar 16, 2020;Retail;Individual;Blake Campbell;New York;Rose;RS110;Noisette Rose;1,00;$12,00;$0,00;$12,00
1000984;Mar 16, 2020;Wholesale;Business;Jennifer Campbell Security;Pennsylvania;Daisy;DS803;Curly Leaf Daisy;11,00;$29,99;$6,00;$323,89
1000985;Mar 16, 2020;Retail;Individual;Jack Green;Texas;Orchid;OC605;Psychopsis Orchid;2,00;$214,00;$0,00;$428,00
1000986;Mar 16, 2020;Wholesale;Business;Alexia Price ITInc.;Ohio;Rose;RS104;Beach Rose;8,00;$4,99;$1,00;$38,92
1000987;Mar 16, 2020;Retail;Individual;Arianna Henderson;Texas;Rose;RS101;Prickly Wild Rose;1,00;$9,99;$0,00;$9,99
1000988;Mar 16, 2020;Retail;Individual;Grace Griffin;Mississippi;Orchid;OC204;Cymbidium Orchid;1,00;$89,00;$0,00;$89,00
1000989;Mar 16, 2020;Wholesale;Business;Kate Shan Inc.;New York;Rose;RS106;China Rose;11,00;$8,99;$1,80;$97,09
1000990;Mar 16, 2020;Wholesale;Business;Samantha Jenkins Innovations;New York;Daisy;DS801;Rough Daisy;102,00;$36,99;$7,40;$3.765,58
1000991;Mar 16, 2020;Retail;Individual;Shane Kovar;Delaware;Rose;RS521;Hybrid Musk;1,00;$19,50;$0,00;$19,50
1000992;Mar 16, 2020;Wholesale;Business;Latasha Jimenez Group;Tennessee;Daisy;DS812;Marguerite Daisy;11,00;$28,99;$5,80;$313,09
1000993;Mar 16, 2020;Retail;Individual;Morgan Young;Ohio;Sunflower;SF301;Little Becka;1,00;$399,00;$0,00;$399,00
1000994;Mar 16, 2020;Wholesale;Business;Brett Sanchez andSons;Arizona;Rose;RS518;Moss Rose;8,00;$14,99;$3,00;$116,92
1000995;Mar 16, 2020;Retail;Individual;Wendy Ramos;Texas;Rose;RS514;Grandiflora;1,00;$23,99;$0,00;$23,99
1000996;Mar 16, 2020;Retail;Individual;Luke Ross;Arkansas;Daisy;DS802;Mojave Desert Star;1,00;$49,95;$0,00;$49,95
1000997;Mar 17, 2020;Retail;Individual;Eddie Martin;Oklahoma;Daisy;DS803;Curly Leaf Daisy;1,00;$29,99;$0,00;$29,99
1000998;Mar 17, 2020;Wholesale;Business;Ethan Kumar Group;California;Sunflower;SF307;Moulin Rouge;1,00;$499,00;$99,80;$399,20
1000999;Mar 17, 2020;Wholesale;Business;Brittany Price Inc.;Kansas;Rose;RS101;Prickly Wild Rose;8,00;$9,99;$2,00;$77,92
1001000;Mar 17, 2020;Retail;Individual;Megan Taylor;Indiana;Rose;RS516;Polyantha;1,00;$16,99;$0,00;$16,99
1001001;Mar 17, 2020;Wholesale;Business;Brett Sanchez andSons;Arizona;Orchid;OC208;Epidendrum Orchid;10,00;$167,00;$33,40;$1.636,60
1001002;Mar 17, 2020;Wholesale;Business;Jose Li Inc.;Maryland;Orchid;OC603;Paphiopedlium Orchid;9,00;$189,00;$37,80;$1.663,20
1001003;Mar 17, 2020;Wholesale;Business;Lauren Walker;Oklahoma;Sunflower;SF303;Terracotta;43,00;$450,00;$90,00;$19.260,00
1001004;Mar 17, 2020;Wholesale;Business;Luis Hayes Inc.;Ohio;Orchid;OC204;Cymbidium Orchid;40,00;$89,00;$17,80;$3.542,20
1001005;Mar 17, 2020;Retail;Individual;Amanda Cook;West Virginia;Orchid;OC206;Dendrobium Orchid;2,00;$119,00;$0,00;$238,00
1001006;Mar 17, 2020;Wholesale;Business;Brad She Group;Texas;Rose;RS507;White Rose of York;9,00;$13,99;$2,80;$123,11
1001007;Mar 17, 2020;Retail;Individual;Destiny Davis;North Carolina;Rose;RS102;Carolina Rose;1,00;$8,99;$0,00;$8,99
1001008;Mar 17, 2020;Wholesale;Business;Brandon Kumar LLC;Kentucky;Rose;RS507;White Rose of York;5,00;$13,99;$2,80;$67,15
1001009;Mar 17, 2020;Wholesale;Business;Mason Roberts Inc.;North Carolina;Rose;RS502;Rosa Glauca;39,00;$24,95;$4,99;$968,06
1001010;Mar 18, 2020;Wholesale;Business;Henry Garcia Inc.;Georgia;Rose;RS110;Noisette Rose;4,00;$12,00;$2,40;$45,60
1001011;Mar 18, 2020;Wholesale;Business;Ian Jenkins International;Texas;Rose;RS107;French Rose;13,00;$12,00;$2,40;$153,60
1001012;Mar 18, 2020;Wholesale;Business;Claudia Zhou LLC;Missouri;Sunflower;SF703;Russian Mammoth;10,00;$549,00;$109,80;$5.380,20
1001013;Mar 18, 2020;Retail;Individual;Luke Edwards;Illinois;Rose;RS512;Hybrid Perpetual;1,00;$24,95;$0,00;$24,95
1001014;Mar 18, 2020;Wholesale;Business;Holly Fernandez Inc.;Alabama;Orchid;OC605;Psychopsis Orchid;5,00;$214,00;$42,80;$1.027,20
1001015;Mar 18, 2020;Wholesale;Business;Melinda Romero LLC;District of Columbia;Orchid;OC202;Catasetum Orchid;8,00;$58,95;$11,79;$459,81
1001016;Mar 18, 2020;Wholesale;Business;Katherine Carter LLC;Minnesota;Daisy;DS810;Gerbera Virdifolia;3,00;$44,95;$8,99;$125,86
1001017;Mar 18, 2020;Wholesale;Business;Rosa Wang LLC;New York;Rose;RS507;White Rose of York;8,00;$13,99;$2,80;$109,12
1001018;Mar 18, 2020;Wholesale;Business;Nicholas Robinson LLC;Arizona;Rose;RS503;Multiflora Rose;6,00;$24,99;$5,00;$144,94
1001019;Mar 18, 2020;Wholesale;Business;Sara Peterson Inc.;South Carolina;Rose;RS104;Beach Rose;33,00;$4,99;$1,00;$163,67
1001020;Mar 19, 2020;Retail;Individual;Rafael Sharma;Florida;Orchid;OC606;Vanda Orchid;1,00;$225,00;$0,00;$225,00
1001021;Mar 19, 2020;Wholesale;Business;Joy Suarez Co.;Massachusetts;Sunflower;SF703;Russian Mammoth;5,00;$549,00;$109,80;$2.635,20
1001022;Mar 19, 2020;Retail;Individual;Robin Alvarez;Georgia;Rose;RS110;Noisette Rose;1,00;$12,00;$0,00;$12,00
1001023;Mar 19, 2020;Wholesale;Business;Seth Alexander Group;Illinois;Rose;RS102;Carolina Rose;7,00;$8,99;$1,80;$61,13
1001024;Mar 19, 2020;Wholesale;Business;Nicolas Tang LLC;Georgia;Rose;RS107;French Rose;12,00;$12,00;$2,40;$141,60
1001025;Mar 19, 2020;Retail;Individual;Sheena Goel;California;Rose;RS521;Hybrid Musk;1,00;$19,50;$0,00;$19,50
1001026;Mar 19, 2020;Retail;Individual;Christine Raji;Alabama;Daisy;DS810;Gerbera Virdifolia;1,00;$44,95;$0,00;$44,95
1001027;Mar 19, 2020;Wholesale;Business;Victoria Wood LLC;California;Rose;RS509;Bourbon Rose;10,00;$19,99;$4,00;$195,90
1001028;Mar 19, 2020;Retail;Individual;Rafael Shan;Maryland;Rose;RS517;Wild Alberta Rose;1,00;$19,50;$0,00;$19,50
1001029;Mar 19, 2020;Wholesale;Business;Elizabeth Coleman Inc.;Texas;Sunflower;SF704;Giant Sungold;5,00;$699,00;$139,80;$3.355,20
1001030;Mar 19, 2020;Wholesale;Business;Brianna Morris Inc.;District of Columbia;Rose;RS521;Hybrid Musk;11,00;$19,50;$3,90;$210,60
1001031;Mar 19, 2020;Wholesale;Business;Marcus Anderson Inc.;Alabama;Rose;RS513;Tea Rose;5,00;$14,99;$3,00;$71,95
1001032;Mar 19, 2020;Wholesale;Business;Ryan Perry LLC;Minnesota;Orchid;OC203;Cycnoches Orchid;10,00;$69,00;$13,80;$676,20
1001033;Mar 19, 2020;Wholesale;Business;Joseph Taylor Group;New York;Daisy;DS809;Eastern Purple Coneflower;27,00;$42,99;$8,60;$1.152,13
1001034;Mar 19, 2020;Retail;Individual;Megan Sanchez;Pennsylvania;Daisy;DS809;Eastern Purple Coneflower;1,00;$42,99;$0,00;$42,99
1001035;Mar 20, 2020;Wholesale;Business;Christine Nara Inc.;North Carolina;Orchid;OC206;Dendrobium Orchid;5,00;$119,00;$23,80;$571,20
1001036;Mar 20, 2020;Wholesale;Business;Mario She Group;Utah;Rose;RS507;White Rose of York;12,00;$13,99;$2,80;$165,08
1001037;Mar 20, 2020;Wholesale;Business;Grace Hughes Inc.;Virginia;Rose;RS502;Rosa Glauca;6,00;$24,95;$4,99;$144,71
1001038;Mar 20, 2020;Wholesale;Business;Bailey Adams Photography;Kentucky;Rose;RS104;Beach Rose;100,00;$4,99;$1,00;$498,00
1001039;Mar 20, 2020;Wholesale;Business;Jennifer Campbell Security;Pennsylvania;Orchid;OC602;Miltonia Orchid;7,00;$189,00;$37,80;$1.285,20
1001040;Mar 20, 2020;Wholesale;Business;Luis Diaz Technologies;Minnesota;Rose;RS520;Rogusa Rose;7,00;$17,50;$3,50;$119,00
1001041;Mar 20, 2020;Retail;Individual;Theodore Gill;North Dakota;Rose;RS503;Multiflora Rose;1,00;$24,99;$0,00;$24,99
1001042;Mar 20, 2020;Retail;Individual;Nathan Clark;District of Columbia;Sunflower;SF703;Russian Mammoth;1,00;$549,00;$0,00;$549,00
1001043;Mar 20, 2020;Wholesale;Business;Nicole Clark Inc.;Hawaii;Orchid;OC204;Cymbidium Orchid;13,00;$89,00;$17,80;$1.139,20
1001044;Mar 20, 2020;Retail;Individual;George Sanchez;Virginia;Sunflower;SF306;Chianti;1,00;$250,00;$0,00;$250,00
1001045;Mar 20, 2020;Retail;Individual;Melvin Xu;Alabama;Orchid;OC605;Psychopsis Orchid;2,00;$214,00;$0,00;$428,00
1001046;Mar 20, 2020;Retail;Business;Cesar McDonald Group;Kansas;Sunflower;SF301;Little Becka;54,00;$399,00;$0,00;$21.546,00
1001047;Mar 21, 2020;Wholesale;Business;Samuel Collins Corporation;Washington;Daisy;DS810;Gerbera Virdifolia;78,00;$44,95;$8,99;$3.497,11
1001048;Mar 21, 2020;Retail;Individual;Amy Li;Kansas;Rose;RS107;French Rose;1,00;$12,00;$0,00;$12,00
1001049;Mar 21, 2020;Retail;Individual;Ruben Mehta;Massachusetts;Rose;RS502;Rosa Glauca;1,00;$24,95;$0,00;$24,95
1001050;Mar 21, 2020;Wholesale;Business;Jessie Jimenez Inc.;California;Orchid;OC203;Cycnoches Orchid;2,00;$69,00;$13,80;$124,20
1001051;Mar 21, 2020;Wholesale;Business;Melinda Navarro Resources;Wisconsin;Daisy;DS811;Ox-Eye Daisy;12,00;$27,50;$5,50;$324,50
1001052;Mar 21, 2020;Wholesale;Business;Gilbert Shen LLC;Ohio;Daisy;DS804;Chrysanthemum Daisy;9,00;$37,99;$7,60;$334,31
1001053;Mar 21, 2020;Wholesale;Business;Beth Ortega Inc.;Ohio;Rose;RS506;Heirloom Rose;6,00;$16,99;$3,40;$98,54
1001054;Mar 21, 2020;Wholesale;Business;Jada Mitchell LLC;Florida;Sunflower;SF303;Terracotta;104,00;$450,00;$90,00;$46.710,00
1001055;Mar 21, 2020;Retail;Individual;Kyle Phillips;Kansas;Daisy;DS802;Mojave Desert Star;1,00;$49,95;$0,00;$49,95
1001056;Mar 22, 2020;Retail;Individual;Austin Griffin;Florida;Sunflower;SF306;Chianti;1,00;$250,00;$0,00;$250,00
1001057;Mar 22, 2020;Wholesale;Business;Sarah Thompson LLC;Alabama;Rose;RS521;Hybrid Musk;11,00;$19,50;$3,90;$210,60
1001058;Mar 22, 2020;Retail;Individual;Bridget Chande;Illinois;Daisy;DS801;Rough Daisy;1,00;$36,99;$0,00;$36,99
1001059;Mar 22, 2020;Wholesale;Business;Elizabeth Johnson LLC;Florida;Rose;RS110;Noisette Rose;11,00;$12,00;$2,40;$129,60
1001060;Mar 22, 2020;Wholesale;Business;Sebastian Sanchez Inc.;Nevada;Orchid;OC203;Cycnoches Orchid;8,00;$69,00;$13,80;$538,20
1001061;Mar 22, 2020;Retail;Individual;Miguel Russell;North Carolina;Sunflower;SF707;Italian White;1,00;$599,00;$0,00;$599,00
1001062;Mar 22, 2020;Retail;Individual;Katrina Jai;Tennessee;Sunflower;SF303;Terracotta;1,00;$450,00;$0,00;$450,00
1001063;Mar 22, 2020;Wholesale;Business;Louis Liang Inc.;Florida;Sunflower;SF301;Little Becka;4,00;$399,00;$79,80;$1.516,20
1001064;Mar 22, 2020;Retail;Individual;Julian Hughes;Florida;Rose;RS509;Bourbon Rose;1,00;$19,99;$0,00;$19,99
1001065;Mar 22, 2020;Wholesale;Business;Omar Raje Inc.;Virginia;Rose;RS514;Grandiflora;12,00;$23,99;$4,80;$283,08
1001066;Mar 22, 2020;Retail;Individual;Melissa Richardson;Louisiana;Orchid;OC605;Psychopsis Orchid;1,00;$214,00;$0,00;$214,00
1001067;Mar 22, 2020;Wholesale;Business;Nelson Carlson LLC;Washington;Daisy;DS813;English Daisy;4,00;$29,99;$6,00;$113,96
1001068;Mar 22, 2020;Wholesale;Business;Jonathan Rodriguez Inc.;North Carolina;Orchid;OC606;Vanda Orchid;30,00;$225,00;$45,00;$6.705,00
1001069;Mar 22, 2020;Wholesale;Business;Alexis Coleman LLC;Idaho;Sunflower;SF703;Russian Mammoth;61,00;$549,00;$109,80;$33.379,20
1001070;Mar 23, 2020;Retail;Individual;Wyatt Thomas;New York;Rose;RS513;Tea Rose;1,00;$14,99;$0,00;$14,99
1001071;Mar 23, 2020;Wholesale;Business;Emily Miller LLC;Iowa;Orchid;OC204;Cymbidium Orchid;13,00;$89,00;$17,80;$1.139,20
1001072;Mar 23, 2020;Wholesale;Business;Jonathon Alvarez Inc.;Michigan;Rose;RS104;Beach Rose;3,00;$4,99;$1,00;$13,97
1001073;Mar 23, 2020;Wholesale;Business;Philip Carlson Group;Florida;Daisy;DS805;Barberton Daisy;6,00;$49,00;$9,80;$284,20
1001074;Mar 23, 2020;Retail;Individual;Joseph Garcia;District of Columbia;Orchid;OC204;Cymbidium Orchid;1,00;$89,00;$0,00;$89,00
1001075;Mar 23, 2020;Wholesale;Business;Joseph Taylor Group;New York;Daisy;DS802;Mojave Desert Star;9,00;$49,95;$9,99;$439,56
1001076;Mar 23, 2020;Wholesale;Business;Jordan Coleman InformationSystems;Arizona;Orchid;OC209;Lycaste Orchid;6,00;$179,00;$35,80;$1.038,20
1001077;Mar 23, 2020;Retail;Individual;Rodney Jimenez;Texas;Orchid;OC203;Cycnoches Orchid;1,00;$69,00;$0,00;$69,00
1001078;Mar 23, 2020;Retail;Individual;Grant Nara;Pennsylvania;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1001079;Mar 23, 2020;Retail;Individual;Trisha Lin;California;Rose;RS521;Hybrid Musk;1,00;$19,50;$0,00;$19,50
1001080;Mar 23, 2020;Retail;Individual;Abby Subram;North Carolina;Rose;RS110;Noisette Rose;1,00;$12,00;$0,00;$12,00
1001081;Mar 23, 2020;Wholesale;Business;Blake Roberts Inc.;Virginia;Daisy;DS809;Eastern Purple Coneflower;105,00;$42,99;$8,60;$4.505,35
1001082;Mar 23, 2020;Retail;Individual;Robyn Gill;Indiana;Daisy;DS805;Barberton Daisy;1,00;$49,00;$0,00;$49,00
1001083;Mar 24, 2020;Wholesale;Business;Brenda Stone;California;Orchid;OC209;Lycaste Orchid;12,00;$179,00;$35,80;$2.112,20
1001084;Mar 24, 2020;Wholesale;Business;Ashley Martinez Industries;Pennsylvania;Daisy;DS801;Rough Daisy;8,00;$36,99;$7,40;$288,52
1001085;Mar 24, 2020;Wholesale;Business;Karla Goel Group;Tennessee;Sunflower;SF301;Little Becka;90,00;$399,00;$79,80;$35.830,20
1001086;Mar 24, 2020;Retail;Individual;Carolyn Navarro;Texas;Sunflower;SF301;Little Becka;1,00;$399,00;$0,00;$399,00
1001087;Mar 24, 2020;Wholesale;Business;Victoria Stewart LLC;California;Rose;RS506;Heirloom Rose;12,00;$16,99;$3,40;$200,48
1001088;Mar 24, 2020;Wholesale;Business;Jennifer Campbell Security;Pennsylvania;Rose;RS502;Rosa Glauca;5,00;$24,95;$4,99;$119,76
1001089;Mar 24, 2020;Retail;Individual;Jeremy Collins;Arizona;Rose;RS505;Climbing Rose;1,00;$14,99;$0,00;$14,99
1001090;Mar 24, 2020;Wholesale;Business;Sydney Carter Security;Florida;Orchid;OC208;Epidendrum Orchid;7,00;$167,00;$33,40;$1.135,60
1001091;Mar 24, 2020;Retail;Individual;Mackenzie Blue;California;Daisy;DS803;Curly Leaf Daisy;1,00;$29,99;$0,00;$29,99
1001092;Mar 24, 2020;Retail;Individual;Tammy Sai;Missouri;Sunflower;SF302;Sunny Smile;1,00;$395,00;$0,00;$395,00
1001093;Mar 24, 2020;Retail;Individual;Clarence Rai;Louisiana;Orchid;OC206;Dendrobium Orchid;1,00;$119,00;$0,00;$119,00
1001094;Mar 24, 2020;Wholesale;Business;Ariana Gray LLC;Virginia;Orchid;OC203;Cycnoches Orchid;8,00;$69,00;$13,80;$538,20
1001095;Mar 24, 2020;Retail;Individual;Tyrone Ortega;Arkansas;Sunflower;SF707;Italian White;1,00;$599,00;$0,00;$599,00
1001096;Mar 25, 2020;Retail;Individual;Tyler Anderson;New Mexico;Rose;RS516;Polyantha;1,00;$16,99;$0,00;$16,99
1001097;Mar 25, 2020;Wholesale;Business;Darryl Wu LLC;Louisiana;Rose;RS102;Carolina Rose;8,00;$8,99;$1,80;$70,12
1001098;Mar 25, 2020;Wholesale;Business;Katelyn Kelly LLC;Louisiana;Orchid;OC603;Paphiopedlium Orchid;11,00;$189,00;$37,80;$2.041,20
1001099;Mar 25, 2020;Retail;Individual;Patricia Garcia;Texas;Daisy;DS813;English Daisy;1,00;$29,99;$0,00;$29,99
1001100;Mar 25, 2020;Wholesale;Business;Mason Roberts Inc.;North Carolina;Daisy;DS808;Pale Purple Coneflower;21,00;$34,99;$7,00;$727,79
1001101;Mar 25, 2020;Retail;Individual;Claudia Zhang;Texas;Orchid;OC209;Lycaste Orchid;2,00;$179,00;$0,00;$358,00
1001102;Mar 25, 2020;Wholesale;Business;Sharon Salavaria LLC;Washington;Daisy;DS804;Chrysanthemum Daisy;13,00;$37,99;$7,60;$486,27
1001103;Mar 25, 2020;Wholesale;Business;Latasha Jimenez Group;Tennessee;Sunflower;SF705;Suntastic Yellow;5,00;$684,00;$136,80;$3.283,20
1001104;Mar 25, 2020;Wholesale;Business;Rohinton Wadia International;Florida;Orchid;OC605;Psychopsis Orchid;10,00;$214,00;$42,80;$2.097,20
1001105;Mar 25, 2020;Retail;Individual;Logan Patterson;Minnesota;Rose;RS513;Tea Rose;1,00;$14,99;$0,00;$14,99
1001106;Mar 25, 2020;Wholesale;Business;José Hernandez andSons;Washington;Rose;RS513;Tea Rose;63,00;$14,99;$3,00;$941,37
1001107;Mar 26, 2020;Wholesale;Business;Briana Dominguez LLC;Connecticut;Rose;RS503;Multiflora Rose;6,00;$24,99;$5,00;$144,94
1001108;Mar 26, 2020;Retail;Individual;Janelle Chandra;Florida;Rose;RS513;Tea Rose;1,00;$14,99;$0,00;$14,99
1001109;Mar 26, 2020;Wholesale;Business;Chloe Nelson AITech;Arizona;Rose;RS108;Panda Robot Blueprint;10,00;$7,99;$1,60;$78,30
1001110;Mar 26, 2020;Wholesale;Business;Ashlee Jai Inc.;Oklahoma;Daisy;DS807;Osteospermum Daisy;12,00;$32,95;$6,59;$388,81
1001111;Mar 26, 2020;Retail;Business;Gavin Diaz Hotel;Florida;Orchid;OC602;Miltonia Orchid;40,00;$189,00;$0,00;$7.560,00
1001112;Mar 26, 2020;Wholesale;Business;Bianca Liu Group;New York;Rose;RS504;Shining Rose;9,00;$12,99;$2,60;$114,31
1001113;Mar 26, 2020;Wholesale;Business;Jonathan Hill Group;Idaho;Rose;RS107;French Rose;9,00;$12,00;$2,40;$105,60
1001114;Mar 26, 2020;Wholesale;Business;Elizabeth Johnson LLC;Florida;Rose;RS104;Beach Rose;5,00;$4,99;$1,00;$23,95
1001115;Mar 26, 2020;Wholesale;Business;Carson Perry Inc.;Pennsylvania;Sunflower;SF305;Ms. Mars;6,00;$455,00;$91,00;$2.639,00
1001116;Mar 26, 2020;Retail;Individual;Kyle Scott;California;Sunflower;SF306;Chianti;1,00;$250,00;$0,00;$250,00
1001117;Mar 27, 2020;Retail;Individual;Kristi Schmidt;Oregon;Rose;RS102;Carolina Rose;1,00;$8,99;$0,00;$8,99
1001118;Mar 27, 2020;Retail;Individual;Jessica Alexander;Virginia;Daisy;DS801;Rough Daisy;1,00;$36,99;$0,00;$36,99
1001119;Mar 27, 2020;Wholesale;Business;Felicia Ortega RunLLC;Louisiana;Orchid;OC201;Phalaenopsis Orchid;8,00;$54,00;$10,80;$421,20
1001120;Mar 27, 2020;Retail;Individual;Arthur Van;Florida;Rose;RS501;Prairie Rose;1,00;$23,99;$0,00;$23,99
1001121;Mar 27, 2020;Retail;Individual;Chloe Hughes;Illinois;Orchid;OC208;Epidendrum Orchid;1,00;$167,00;$0,00;$167,00
1001122;Mar 27, 2020;Wholesale;Business;Carson Perry Inc.;Pennsylvania;Sunflower;SF707;Italian White;9,00;$599,00;$119,80;$5.271,20
1001123;Mar 27, 2020;Wholesale;Business;Gerald Gonzalez LLC;Iowa;Daisy;DS804;Chrysanthemum Daisy;26,00;$37,99;$7,60;$980,14
1001124;Mar 27, 2020;Retail;Individual;Caleb Carter;Ohio;Sunflower;SF704;Giant Sungold;1,00;$699,00;$0,00;$699,00
1001125;Mar 27, 2020;Retail;Individual;Miranda Long;Florida;Rose;RS102;Carolina Rose;1,00;$8,99;$0,00;$8,99
1001126;Mar 27, 2020;Retail;Individual;Mathew Blanco;Illinois;Orchid;OC204;Cymbidium Orchid;1,00;$89,00;$0,00;$89,00
1001127;Mar 27, 2020;Retail;Individual;Wayne Tang;Utah;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1001128;Mar 28, 2020;Retail;Individual;Charles Evans;Florida;Daisy;DS803;Curly Leaf Daisy;1,00;$29,99;$0,00;$29,99
1001129;Mar 28, 2020;Wholesale;Business;Lauren Davis LLC;Kansas;Orchid;OC209;Lycaste Orchid;4,00;$179,00;$35,80;$680,20
1001130;Mar 28, 2020;Retail;Individual;Caleb Perry;Washington;Rose;RS106;China Rose;1,00;$8,99;$0,00;$8,99
1001131;Mar 28, 2020;Retail;Individual;Beth Gutierrez;District of Columbia;Orchid;OC201;Phalaenopsis Orchid;1,00;$54,00;$0,00;$54,00
1001132;Mar 28, 2020;Retail;Individual;Jacob White;Oregon;Orchid;OC209;Lycaste Orchid;2,00;$179,00;$0,00;$358,00
1001133;Mar 28, 2020;Retail;Individual;Kurt Chander;Minnesota;Sunflower;SF307;Moulin Rouge;2,00;$499,00;$0,00;$998,00
1001134;Mar 28, 2020;Wholesale;Business;Logan Wilson andSons;North Carolina;Orchid;OC602;Miltonia Orchid;109,00;$189,00;$37,80;$20.563,20
1001135;Mar 28, 2020;Wholesale;Business;Manuel Sara Group;Missouri;Rose;RS508;Ayrshire Rose;6,00;$15,50;$3,10;$89,90
1001136;Mar 28, 2020;Wholesale;Business;Logan Wilson andSons;North Carolina;Rose;RS109;Floribunda;11,00;$10,99;$2,20;$118,69
1001137;Mar 28, 2020;Wholesale;Business;Colleen Zheng andSons;Arizona;Rose;RS503;Multiflora Rose;11,00;$24,99;$5,00;$269,89
1001138;Mar 28, 2020;Retail;Individual;Johnny Chavez;New York;Sunflower;SF707;Italian White;1,00;$599,00;$0,00;$599,00
1001139;Mar 28, 2020;Retail;Individual;Arthur Rubio;Colorado;Rose;RS105;Portland Rose;1,00;$12,00;$0,00;$12,00
1001140;Mar 28, 2020;Wholesale;Business;Shannon Carlson LLC;Virginia;Rose;RS511;Cabbage Rose;4,00;$20,95;$4,19;$79,61
1001141;Mar 28, 2020;Wholesale;Business;Edwin Nara Technologies;South Carolina;Sunflower;SF306;Chianti;11,00;$250,00;$50,00;$2.700,00
1001142;Mar 28, 2020;Wholesale;Business;Jessie Jimenez Inc.;California;Sunflower;SF705;Suntastic Yellow;4,00;$684,00;$136,80;$2.599,20
1001143;Mar 28, 2020;Wholesale;Business;Christopher Miller Technologies;Indiana;Orchid;OC605;Psychopsis Orchid;5,00;$214,00;$42,80;$1.027,20
1001144;Mar 28, 2020;Wholesale;Business;Kimberly Murphy Engineering;Georgia;Daisy;DS802;Mojave Desert Star;11,00;$49,95;$9,99;$539,46
1001145;Mar 28, 2020;Retail;Individual;Barry Rodriguez;Oklahoma;Rose;RS514;Grandiflora;1,00;$23,99;$0,00;$23,99
1001146;Mar 29, 2020;Wholesale;Business;Jonathon Alvarez Inc.;Michigan;Rose;RS508;Ayrshire Rose;10,00;$15,50;$3,10;$151,90
1001147;Mar 29, 2020;Wholesale;Business;Devin Martinez Inc.;North Carolina;Rose;RS503;Multiflora Rose;4,00;$24,99;$5,00;$94,96
1001148;Mar 29, 2020;Wholesale;Business;Johnny Shan Co.;New Mexico;Orchid;OC206;Dendrobium Orchid;7,00;$119,00;$23,80;$809,20
1001149;Mar 29, 2020;Retail;Individual;Ramon Huang;Texas;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1001150;Mar 29, 2020;Retail;Individual;Vincent Cai;Florida;Sunflower;SF702;American Giant Hybrid;1,00;$899,00;$0,00;$899,00
1001151;Mar 29, 2020;Wholesale;Business;Blake Roberts Inc.;Virginia;Sunflower;SF704;Giant Sungold;9,00;$699,00;$139,80;$6.151,20
1001152;Mar 29, 2020;Wholesale;Business;Brandon Kumar LLC;Kentucky;Orchid;OC607;Zygopetalum Orchid;6,00;$245,00;$49,00;$1.421,00
